ShortName;ISIN;ValorSymbol;ValorNumber;ClosingPrice;DailyHighPrice;DailyLowPrice;LastDate;PreviousClosingPrice;OpeningPrice;OnMarketVolume;OffBookVolume;SwissAtMidVolume;TotalVolume;TradingBaseCurrency;YearlyHighDate;YearlyHighPrice;YearlyLowDate;YearlyLowPrice;FirstTradingDate;LastTradingDate;Exchange;SecTypeCode;GeographicalAreaCode;Tminus1Volume;60 Day VWAP
BASELLAND KB PS;CH0001473559;BLKB;147355;918;920;912;20210326;914;914;711;0;145;856;CHF;20210104;946;20200408;854;19960802;;XSWX;PC;CH;0;925.26
BASILEA N;CH0011432447;BSLN;1143244;47.2;47.66;46.9;20210326;46.94;47.4;40604;0;1003;41607;CHF;20210212;61.95;20200330;38.8;20040325;;XSWX;RS;CH;0;50.27
BASLER KB PS;CH0009236461;BSKP;923646;63.6;63.8;62.8;20210326;63.6;63.4;9028;0;125;9153;CHF;20200528;73.8;20201218;57.2;19980710;;XSWX;PC;CH;0;62.47
BB BIOTECH N;CH0038389992;BION;3838999;82.2;83.5;81.5;20210326;82.55;82.85;92992;0;435;93427;CHF;20210209;93.45;20200330;51.1;20080422;;XSWX;RS;CH;0;85.1
BB BIOTECH N 2. LINIE;CH0027659793;BIOEE;2765979;48.8;;;20160311;48.8;;0;0;0;0;CHF;;;;;20061108;20220411;XSWX;RS;CH;0;
BC GENEVE N;CH0350494719;BCGE;35049471;160.5;161;158.5;20210326;160;160;905;0;0;905;CHF;20200605;184;20210121;152.5;20170202;;XSWX;RS;CH;0;159.08
BC JURA N;CH0350665672;BCJ;35066567;54.5;55.5;53;20210326;54.5;54.5;505;0;0;505;CHF;20201207;58.5;20201026;50;20170505;;XSWX;RS;CH;0;53.62
BC VAUD N;CH0531751755;BCVN;53175175;94.7;96;94.4;20210326;95.3;95.8;57846;0;3246;61092;CHF;20210216;101.6;20200330;76.6;20200528;;XSWX;RS;CH;0;96.15
BEKB / BCBE N;CH0009691608;BEKN;969160;210.5;211;208.5;20210326;210.5;210.5;5068;0;291;5359;CHF;20200619;238;20200406;205;20000802;;XSWX;RS;CH;0;215.14
BELIMO N;CH0001503199;BEAN;150319;7450;7460;7370;20210326;7370;7390;406;0;196;602;CHF;20201117;8090;20200330;5910;19960802;;XSWX;RS;CH;10;7175.04
BELL FOOD GROUP N;CH0315966322;BELL;31596632;287;291;283.5;20210326;287;291;2256;0;195;2451;CHF;20210322;296;20200518;221.5;20160428;;XSWX;RS;CH;0;263.81
BELLEVUE GROUP N;CH0028422100;BBN;2842210;37.7;39.1;37.6;20210326;38.6;38.9;24783;0;21;24804;CHF;20210302;43.5;20200415;19.55;20070115;;XSWX;RS;CH;0;38.35
BK LINTH N;CH0001307757;LINN;130775;520;535;520;20210326;530;525;41;0;0;41;CHF;20201005;565;20200612;460;19960802;;XSWX;RS;CH;0;519.09
BKW N;CH0130293662;BKW;13029366;102.4;102.8;101.2;20210326;101.2;101.6;49286;2600;5825;57711;CHF;20210208;111.4;20200330;76;20111212;;XSWX;RS;CH;0;104.39
Blackstone Resources N;CH0460027110;BLS;46002711;4.22;4.44;4.2;20210326;4.22;4.36;63189;0;0;63189;CHF;20200810;7.2;20200330;0.64;20190208;;XSWX;RS;CH;0;4.42
BOBST GRP N;CH0012684657;BOBNN;1268465;61.55;63.2;61.55;20210326;61.5;62.7;11900;0;1093;12993;CHF;20210223;68.4;20200330;41.4;20011112;;XSWX;RS;CH;0;62.29
BOSSARD N;CH0238627142;BOSN;23862714;208;211;206.5;20210326;209;209.5;7579;0;109;7688;CHF;20210318;220;20200330;103.7;20140414;;XSWX;RS;CH;0;201.85
BUCHER N;CH0002432174;BUCN;243217;470.2;476.8;468.6;20210326;468.4;475;10996;5144;1911;18051;CHF;20210311;485.2;20200330;243.4;20050504;;XSWX;RS;CH;38;445.43
BURCKHARDT N;CH0025536027;BCHN;2553602;313.5;319;313.5;20210326;314.5;316;2150;0;14;2164;CHF;20210302;356;20200514;162;20060626;;XSWX;RS;CH;0;326.59
BURKHALTER N;CH0212255803;BRKN;21225580;71.4;71.6;70;20210326;71;71.5;3194;0;0;3194;CHF;20200605;72.9;20200402;52.6;20130529;;XSWX;RS;CH;0;68.04
BVZ HOL N;CH0008207356;BVZN;820735;865;870;865;20210326;855;870;14;0;0;14;CHF;20200430;1130;20201006;675;19990819;;XSWX;RS;CH;0;800.81
CALIDA N;CH0126639464;CALN;12663946;37.2;37.3;36.5;20210326;36.5;37;6048;0;75;6123;CHF;20210326;37.3;20201110;26.3;20110418;;XSWX;RS;CH;0;35.09
CASTLE ALT N;CH0005092751;CASN;509275;13.9;13.9;13.9;20210326;13.9;13.9;1780;0;0;1780;CHF;20210326;13.9;20200825;12.8;19970410;;XSWX;RS;CH;0;13.08
CASTLE PRIVATE N;CH0048854746;CPEN;4885474;9.75;9.8;9.75;20210326;9.8;9.8;27680;0;0;27680;CHF;20200512;11.6;20201006;9.3;20081216;;XSWX;RS;CH;0;10.05
CEMBRA MONEY BANK N;CH0225173167;CMBN;22517316;103.8;105.5;103.5;20210326;104.4;105.5;49377;0;2167;51544;CHF;20201110;115.3;20200515;79.2;20131030;;XSWX;RS;CH;0;100.75
CFRAO  C 11/23;CH0559601544;CFRAO;55960154;0.35;0.36;0.35;20210326;0.35;0.35;678790;0;0;678790;CHF;20210323;0.39;20201208;0.16;20201127;20231115;XSWX;SW;CH;0;0.3
CI COM SA;CH0001625810;CIE;162581;3.48;;;20210322;3.48;;0;0;0;0;CHF;20210212;5.2;20200403;1.65;19960802;;XSWX;BS;CH;0;3.93
CICOR TECH N;CH0008702190;CICN;870219;51.4;51.4;51.2;20210326;51.6;51.4;1599;0;200;1799;CHF;20210318;54.4;20200811;34.8;19980424;;XSWX;RS;CH;0;49.56
CIE FIN TR I;CH0014345117;CFT;1434511;118;119.5;118;20210326;118;118.5;208;0;0;208;CHF;20210322;120;20200330;93.7393;20020704;;XSWX;BS;CH;0;112.84
COLTENE N;CH0025343259;CLTN;2534325;117.6;117.6;114.4;20210326;117;117.2;4723;0;10;4733;CHF;20210311;119;20200401;61.4;20060623;;XSWX;RS;CH;0;104.3
COMET N;CH0360826991;COTN;36082699;215.5;216.5;212;20210326;213;215;20788;0;3076;23864;CHF;20210322;237;20200330;89.8;20170426;;XSWX;RS;CH;0;213.36
CONZZETA N;CH0244017502;CON;24401750;1194;1206;1184;20210326;1198;1204;714;0;41;755;CHF;20210315;1326;20200403;722;20140714;;XSWX;RS;CH;0;1212.38
CPH N;CH0001624714;CPHN;162471;65.2;65.2;65.2;20210326;65.4;65.2;65;0;0;65;CHF;20200602;76;20201106;61.8;20010611;;XSWX;RS;CH;0;68.57
CREALOGIX N;CH0011115703;CLXN;1111570;119.5;119.5;117;20210326;119;117;288;0;0;288;CHF;20210111;133.5;20200401;83;20000907;;XSWX;RS;CH;0;124.78
CS GROUP N 2. LINIE;CH0454225696;CSGNE;45422569;12.525;12.58;12.4;20210326;12.295;12.515;225000;0;0;225000;CHF;20210225;13.495;20210128;11.51;20200106;20211230;XSWX;RS;CH;0;12.4
DAETWYLER I;CH0030486770;DAE;3048677;280.5;286;280;20210326;284;286;7936;0;1282;9218;CHF;20210324;298;20200402;145.2;20070706;;XSWX;BS;CH;0;270.22
DATACOLOR N;CH0008531045;DCN;853104;590;;;20210322;590;;0;0;0;0;CHF;20201118;650;20201030;505;19980423;;XSWX;RS;CH;0;551.96
DKSH N;CH0126673539;DKSH;12667353;71.15;72.45;71;20210326;71.9;72.45;33465;0;2870;36335;CHF;20210208;75;20200330;45.42;20120320;;XSWX;RS;CH;0;70.92
dormakaba N;CH0011795959;DOKA;1179595;635.5;641.5;634;20210326;633;634;4939;0;62;5001;CHF;20210318;651;20200330;408.4;20010212;;XSWX;RS;CH;0;561.45
DOTTIKON ES N;CH0582581713;DESN;58258171;184;185;183;20210326;183;183;3470;0;0;3470;CHF;20201207;218;20200330;58.8;20201204;;XSWX;RS;CH;0;185.46
DUFRY N;CH0023405456;DUFN;2340545;60.72;62.2;59.86;20210326;60.28;61.2;534834;82251;52274;669359;CHF;20210318;70.66;20200803;21.3;20190410;;XSWX;RS;CH;0;56.39
EDISUN POWER EUROPE N;CH0024736404;ESUN;2473640;121;121.5;119;20210326;121;120;2020;0;0;2020;CHF;20210104;134.5;20200415;93.2;20080926;;XSWX;RS;CH;0;124.9
EEII I;CH0007162958;EEII;716295;3;;;20201221;3;;0;0;0;0;CHF;20200811;3.5;20200420;2.3;19990122;;XSWX;BS;CH;0;
EFG INTERNATIONAL N;CH0022268228;EFGN;2226822;7.14;7.2;7.05;20210326;7.06;7.12;96667;0;7290;103957;CHF;20210318;7.27;20201022;4.8;20051007;;XSWX;RS;CH;0;6.65
ELMA ELECTRONIC N;CH0005319162;ELMN;531916;535;;;20210319;535;;0;0;0;0;CHF;20210319;535;20200408;434;19961204;;XSWX;RS;CH;0;502.07
EMMI N;CH0012829898;EMMN;1282989;964.5;970;958.5;20210326;967;962.5;2042;0;161;2203;CHF;20210324;975;20200615;795.5;20041206;;XSWX;RS;CH;0;925.89
EMS-CHEMIE N;CH0016440353;EMSN;1644035;836;840;829;20210326;831;832.5;14279;0;2598;16877;CHF;20210216;903.5;20200406;565.5;20100401;;XSWX;RS;CH;100;842.45
ENERGIEDIENST N;CH0039651184;EDHN;3965118;35.6;35.7;35.4;20210326;35.4;35.5;814;0;206;1020;CHF;20210326;35.7;20201105;26.5;20080627;;XSWX;RS;CH;0;31.81
ENR RUSSIA INVEST I;CH0034476959;RUS;3447695;9.35;;;20210305;9.35;;0;0;0;0;CHF;20200630;10.9;20200420;8.6;20071119;;XSWX;BS;CH;0;9.38
EVOLVA N;CH0021218067;EVE;2121806;0.21;0.211;0.206;20210326;0.2055;0.211;1440754;0;0;1440754;CHF;20200810;0.374;20200402;0.171;20050504;;XSWX;RS;CH;0;0.23
FEINTOOL N;CH0009320091;FTON;932009;68.5;69.1;68.1;20210326;68.7;68.1;4126;0;20;4146;CHF;20210319;71.9;20200401;37.3;19980817;;XSWX;RS;CH;0;62.13
FISCHER N;CH0001752309;FI-N;175230;1249;1263;1247;20210326;1244;1248;6587;0;531;7118;CHF;20210309;1324;20200514;612.5;19960802;;XSWX;RS;CH;24;1207.51
FLUGHAFEN ZUERICH N;CH0319416936;FHZN;31941693;152.5;155.4;152.1;20210326;153.4;154.1;46551;0;2966;49517;CHF;20210309;170.2;20200514;99.25;20160506;;XSWX;RS;CH;108;156.11
FORBO N;CH0003541510;FORN;354151;1714;1742;1714;20210326;1714;1720;2414;0;319;2733;CHF;20210326;1742;20200403;1086;19960802;;XSWX;RS;CH;0;1602.1
FORBO N 2. LINIE;CH0183903761;FORNE;18390376;1732;1744;1732;20210326;1714;1742;505;0;0;505;CHF;20210326;1744;20210325;1700;20210325;20220331;XSWX;RS;CH;0;1724.1
Fundamenta Real Estate N;CH0045825517;FREN;4582551;20;20.2;19.45;20210326;19.5;19.5;10218;0;60;10278;CHF;20210326;20.2;20200330;15.25;20181206;;XSWX;RS;CH;0;18.09
GALENICA N;CH0360674466;GALE;36067446;60.3;60.4;59.85;20210326;59.75;59.85;99240;0;6777;106017;CHF;20200520;72.25;20201030;57.15;20170407;;XSWX;RS;CH;0;59.63
